bidder,wild tract bids,strict neighbor bids,existing bg bids,average neighbors per bid,num bids,average final round number,wild tract bids winner,strict neighbor bids winner,existing bg bids winner,average neighbors per bid winner,num wins,average final round number winner,won blocks in wild tract bg,won blocks in strict neighbor bg,won blocks in existing bg,total blocks won
Sac County Mutual Telephone Company,0,0,2,6,2,17.0,0,0,0,0,0,0.0,0,0,0,0
West River Telecommunications Cooperative,0,0,2,10,2,11.0,0,0,0,0,0,0.0,0,0,0,0
Bays-ET Highspeed Internet LLC,0,2,1,7,3,1.0,0,0,0,0,0,0.0,0,0,0,0
CUMBERLAND TELEPHONE COMPANY,0,0,3,12,3,12.0,0,0,0,0,0,0.0,0,0,0,0
H&B Enterprises Inc.,0,1,2,6,3,15.666666666666666,0,0,2,5,2,16.5,0,0,10,10
Huxley Communications Cooperative,0,2,1,4,3,15.0,0,0,0,0,0,0.0,0,0,0,0
Newbreak Communications,0,2,1,6,3,7.666666666666667,0,0,0,0,0,0.0,0,0,0,0
"Nuvera Communications, Inc.",1,0,3,8,4,15.0,0,0,0,0,0,0.0,0,0,0,0
"Pathwayz Communications, Inc.",4,3,0,4,7,15.285714285714286,0,0,0,0,0,0.0,0,0,0,0
"Skywave Wireless, Inc.",16,3,0,1,19,15.368421052631579,2,0,0,0,2,14.0,5,0,0,5
Union Telephone Company,0,1,2,8,3,15.0,0,0,1,5,1,13.0,0,0,30,30
Wittenberg Telephone Company,0,0,3,8,3,14.333333333333334,0,0,0,0,0,0.0,0,0,0,0
Baraga Telephone Company Inc.,2,1,3,9,6,14.166666666666666,0,0,3,9,3,16.0,0,0,21,21
"Cambridge Telephone Company, Inc.",0,3,1,4,4,5.25,0,0,0,0,0,0.0,0,0,0,0
"Country Wireless, LLC",1,1,3,7,5,12.0,0,0,0,0,0,0.0,0,0,0,0
"Home Communications, Inc.",0,1,3,12,4,15.5,0,1,0,1,1,14.0,0,3,0,3
"Horizon Communications, Inc.",0,0,4,9,4,13.0,0,0,4,9,4,13.0,0,0,82,82
Moundridge Telephone Co.,0,1,3,7,4,13.5,0,0,0,0,0,0.0,0,0,0,0
"Pathway Com-Tel, Inc.",1,3,1,5,5,13.8,0,0,0,0,0,0.0,0,0,0,0
Roseau Electric Cooperative,0,2,2,3,4,17.0,0,2,2,3,4,17.0,0,48,28,76
Sycamore Telephone Company,0,0,4,15,4,13.75,0,0,0,0,0,0.0,0,0,0,0
Terral Telephone Company,7,0,4,4,11,19.0,7,0,4,4,11,19.0,250,0,159,409
UPSALA COOPERATIVE TELEPHONE ASSOCIATION,0,0,4,7,4,16.0,0,0,0,0,0,0.0,0,0,0,0
"Arrowhead Electric Cooperative, Inc.",0,0,5,6,5,14.6,0,0,5,6,5,14.6,0,0,440,440
"Daktel Communications, LLC",0,0,5,17,5,14.0,0,0,5,17,5,14.0,0,0,36,36
Gardonville Cooperative Telephone Association,0,0,5,20,5,15.0,0,0,2,14,2,15.0,0,0,10,10
Lennon Telephone Company,0,0,5,19,5,11.0,0,0,0,0,0,0.0,0,0,0,0
Local Internet Service Company,3,3,2,8,8,12.125,0,0,0,0,0,0.0,0,0,0,0
"MEI Telecom, Inc.",2,3,2,6,7,11.714285714285714,1,1,2,6,4,13.0,2,6,13,21
"NEIT Services, LLC",0,2,3,4,5,14.0,0,0,0,0,0,0.0,0,0,0,0
"Norvado, Inc.",15,3,2,5,20,12.65,0,0,0,0,0,0.0,0,0,0,0
"Panhandle Telephone Cooperative, Inc.",0,1,4,10,5,18.0,0,0,0,0,0,0.0,0,0,0,0
Solarus,3,4,1,4,8,14.125,2,0,0,0,2,14.0,3,0,0,3
"Totah Communications, Inc.",4,3,2,11,9,1.0,0,0,0,0,0,0.0,0,0,0,0
Wiggins Telephone Association,1,2,3,12,6,14.666666666666666,0,0,0,0,0,0.0,0,0,0,0
"Wilson Creek Communications, LLC",0,0,5,16,5,14.0,0,0,0,0,0,0.0,0,0,0,0
"yondoo Broadband, LLC",0,1,4,7,5,16.0,0,0,2,7,2,16.0,0,0,24,24
"All West Communications, Inc.",0,0,6,29,6,10.833333333333334,0,0,2,4,2,12.0,0,0,22,22
"Arvig Enterprises, Inc.",0,0,6,29,6,9.166666666666666,0,0,0,0,0,0.0,0,0,0,0
"Central Arkansas Telephone Cooperative, Inc.",6,3,3,9,12,15.333333333333334,0,3,2,6,5,17.0,0,146,35,181
Citizens Telephone Company,0,5,1,6,6,12.333333333333334,0,4,0,4,4,13.0,0,29,0,29
City of Wilson,0,1,5,15,6,12.0,0,0,0,0,0,0.0,0,0,0,0
"Comcell, Inc.",1,3,3,6,7,16.0,0,0,1,4,1,14.0,0,0,2,2
Ligtel Communications,0,4,2,7,6,16.333333333333332,0,1,2,5,3,16.666666666666668,0,6,59,65
MTC Cable,0,0,6,30,6,13.0,0,0,6,30,6,13.0,0,0,34,34
"Pembroke Telephone Company, Inc.",64,4,2,4,70,10.942857142857143,6,4,2,4,12,14.666666666666666,119,53,35,207
Plateau,0,0,6,29,6,17.0,0,0,1,9,1,13.0,0,0,1,1
"Quantum Telecommunications, Inc.",16,5,1,7,22,13.545454545454545,0,0,0,0,0,0.0,0,0,0,0
"Siuslaw Broadband, LLC",0,2,4,14,6,16.0,0,2,3,11,5,16.0,0,28,97,125
"Southwest Arkansas Telephone Cooperative, Inc.",3,1,5,14,9,14.222222222222221,0,0,0,0,0,0.0,0,0,0,0
"Valley Telephone Cooperative, Inc.",0,4,2,7,6,14.0,0,0,0,0,0,0.0,0,0,0,0
Corn Belt Telephone,0,0,7,10,7,17.0,0,0,3,9,3,16.0,0,0,11,11
"FTC Diversified Services, LLC",0,3,4,7,7,1.0,0,0,0,0,0,0.0,0,0,0,0
Green Hills Telephone Corporation,0,0,7,19,7,12.0,0,0,0,0,0,0.0,0,0,0,0
"Palmetto Telephone Communications, LLC",0,2,5,28,7,14.857142857142858,0,0,2,7,2,13.0,0,0,59,59
"Planters Communications, LLC",0,1,6,14,7,12.285714285714286,0,0,0,0,0,0.0,0,0,0,0
Spring Grove Communications,11,4,3,5,18,15.666666666666666,0,0,0,0,0,0.0,0,0,0,0
"Blackfoot Telephone Cooperative, Inc.",2,4,4,23,10,13.5,2,3,3,17,8,13.375,76,161,126,363
"Coleman County Telephone Cooperative, Inc.",1,5,3,9,9,15.444444444444445,1,1,0,1,2,13.5,2,3,0,5
Emery Telcom,0,0,9,15,9,12.666666666666666,0,0,6,15,6,13.0,0,0,168,168
Farmers Mutual Telephone Company,3,0,9,13,12,15.333333333333334,0,0,8,13,8,17.875,0,0,116,116
"Marquette-Adams Telephone Cooperative, Inc.",0,1,8,19,9,14.0,0,1,2,15,3,16.666666666666668,0,6,4,10
Woodstock Telephone Company,1,4,5,20,10,14.8,0,0,0,0,0,0.0,0,0,0,0
"1stel, Inc.",8425,7,3,6,8435,10.865560165975104,0,0,0,0,0,0.0,0,0,0,0
Cellular Services LLC,20,7,3,11,30,15.333333333333334,20,7,3,11,30,15.333333333333334,278,63,37,378
"Central Texas Telephone Cooperative, Inc.",0,2,8,21,10,12.1,0,0,0,0,0,0.0,0,0,0,0
Fundamental Holdings Corp dba Peak Internet,50,3,7,17,60,13.366666666666667,0,0,0,0,0,0.0,0,0,0,0
"Home Telephone ILEC, LLC d/b/a Home Telecom",0,2,8,25,10,7.9,0,0,0,0,0,0.0,0,0,0,0
"Lakeland Communications, Inc.",0,0,10,21,10,15.8,0,0,7,19,7,16.857142857142858,0,0,71,71
Massena Telephone Company,16,6,4,6,26,11.5,0,0,0,0,0,0.0,0,0,0,0
Montana Internet Corporation,0,1,9,40,10,11.0,0,0,0,0,0,0.0,0,0,0,0
Ronan Telephone Co,0,2,8,13,10,13.4,0,0,0,0,0,0.0,0,0,0,0
Steelville Telephone Exchange Inc,3,5,5,23,13,12.615384615384615,0,0,0,0,0,0.0,0,0,0,0
"W.T. Services, Inc.",0,0,10,21,10,19.0,0,0,4,13,4,19.0,0,0,55,55
"WTC Communications, Inc.",3,8,2,12,13,16.46153846153846,1,2,2,9,5,15.0,2,3,18,23
"Big Bend Telephone Company, Inc.",0,0,11,31,11,16.727272727272727,0,0,0,0,0,0.0,0,0,0,0
