bidder,neighbor winner average final round number,neighbor winner neighbors per bid,neighbor winner any neighbors per bid,wild tract winner average final round number,wild tract winner average neighbors per bid,wild tract winner average any neighbors per bid,existing winner average final round number,existing winner average neighbors per bid,existing winner average any neighbors per bid,winner average final round number,winner average neighbors per bid,winner average any neighbors per bid,neighbor bg bids,neighbor average final round number,neighbor blocks won,neighbor neighbors per bid,neighbor any neighbors per bid,neighbor num wins,wild tract bg bids,wild tract average final round number,wild tract blocks won,wild tract average neighbors per bid,wild tract average any neighbors per bid,wild tract num wins,existing bg bids,existing average final round number,existing blocks won,existing average neighbors per bid,existing average any neighbors per bid,existing num wins,num bids,average final round number,total blocks won,average neighbors per bid,average any neighbors per bid,num wins,wins/bid,blocks/win
Plateau,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,9.0,13.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,1.0,8.333333333333334,9.5,1.0,6,17.0,1,8.333333333333334,9.5,1,0.16666666666666666,1.0
"QCOL, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.333333333333333,7.666666666666667,13.0,5.333333333333333,7.666666666666667,8.0,10.75,0.0,2.0,8.375,0.0,11.0,10.0,0.0,0.0,7.454545454545454,0.0,11.0,14.818181818181818,17.0,5.363636363636363,8.090909090909092,3.0,30,11.966666666666667,17,2.5,7.933333333333334,3,0.1,5.666666666666667
Reservation Telephone Cooperative,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,14.0,14.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,24.0,8.0,14.0,1.0,1,14.0,24,8.0,14.0,1,1.0,24.0
"Sandhill Telephone Cooperative, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,6.0,13.0,5.0,6.0,11.0,14.090909090909092,0.0,3.272727272727273,7.545454545454546,0.0,3.0,9.333333333333334,0.0,0.0,8.0,0.0,30.0,17.666666666666668,1.0,5.266666666666667,6.833333333333333,1.0,44,16.204545454545453,1,4.409090909090909,7.090909090909091,1,0.022727272727272728,1.0
St Paul Coop Telephone Assoc,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,6.0,13.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,7.0,2.0,6.0,1.0,1,13.0,7,2.0,6.0,1,1.0,7.0
Union Telephone Company,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,12.0,13.0,5.0,12.0,1.0,17.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,30.0,4.0,9.0,1.0,3,15.0,30,4.0,8.0,1,0.3333333333333333,30.0
"W.T. Services, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.5,5.5,19.0,4.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,55.0,5.3,7.4,4.0,10,19.0,55,5.3,7.4,4,0.4,13.75
Yucca Telecom,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.6,6.0,13.0,6.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.5,11.0,8.166666666666666,7.083333333333333,5.0,12,16.5,11,8.166666666666666,7.083333333333333,5,0.4166666666666667,2.2
"yondoo Broadband, LLC",0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.5,7.0,16.0,3.5,7.0,1.0,12.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,24.0,3.25,5.75,2.0,5,16.0,24,3.2,6.0,2,0.4,12.0
"1stel, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.428571428571429,0.0,1.2857142857142858,8.571428571428571,0.0,8425.0,10.864925816023739,0.0,0.0,7.688189910979228,0.0,3.0,11.333333333333334,0.0,4.0,8.666666666666666,0.0,8435,10.865560165975104,0,0.0024896265560165973,7.689270895080024,0,0.0,0.0
"AMA Communicaitons, L.L.C.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.428571428571429,0.0,2.2857142857142856,9.571428571428571,0.0,35.0,15.457142857142857,0.0,0.0,7.8,0.0,45.0,15.688888888888888,0.0,5.2,8.911111111111111,0.0,101,15.554455445544555,0,2.792079207920792,8.663366336633663,0,0.0,0.0
AirCell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.416666666666666,0.0,1.4166666666666667,9.416666666666666,0.0,119.0,12.529411764705882,0.0,0.0,8.714285714285714,0.0,7.0,15.0,0.0,4.142857142857143,7.285714285714286,0.0,138,12.644927536231885,0,0.3333333333333333,8.702898550724637,0,0.0,0.0
"Alyrica Networks, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.909090909090908,0.0,2.272727272727273,8.363636363636363,0.0,7.0,14.428571428571429,0.0,0.0,7.0,0.0,129.0,13.248062015503876,0.0,7.62015503875969,8.069767441860465,0.0,147,13.428571428571429,0,6.857142857142857,8.040816326530612,0,0.0,0.0
Atlantic Telephone Membership Corporation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,2.0,10.0,0.0,10.0,14.1,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,14.272727272727273,0,0.18181818181818182,8.090909090909092,0,0.0,0.0
Bays-ET Highspeed Internet LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,6.0,0.0,3,1.0,0,2.3333333333333335,8.333333333333334,0,0.0,0.0
Benton Ridge Telephone Company,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,14.403389830508475,0.0,1.9389830508474577,8.064406779661017,0.0,23075.0,8.262361863488625,0.0,0.0,7.640086673889491,0.0,275.0,14.396363636363636,0.0,6.08,8.290909090909091,0.0,23645,8.410319306407274,0,0.09490378515542398,7.652949883696341,0,0.0,0.0
Bluestem Network LLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,14.210526315789474,0.0,1.7894736842105263,9.68421052631579,0.0,50.0,12.0,0.0,0.0,7.56,0.0,6.0,14.333333333333334,0.0,2.8333333333333335,7.666666666666667,0.0,75,12.746666666666666,0,0.68,8.106666666666667,0,0.0,0.0
Broadband Corp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.736842105263158,0.0,1.894736842105263,7.947368421052632,0.0,30.0,10.766666666666667,0.0,0.0,7.666666666666667,0.0,54.0,11.962962962962964,0.0,7.444444444444445,8.444444444444445,0.0,103,11.388349514563107,0,4.252427184466019,8.12621359223301,0,0.0,0.0
"Cambridge Telephone Company, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.333333333333333,0.0,1.3333333333333333,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,6.0,0.0,4,5.25,0,1.75,8.75,0,0.0,0.0
"Central Texas Telephone Cooperative, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.5,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.25,0.0,7.25,8.375,0.0,10,12.1,0,6.0,7.5,0,0.0,0.0
City of Wilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,0.0,4.2,8.8,0.0,6,12.0,0,4.166666666666667,8.5,0,0.0,0.0
"Colorado Central Telecom, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,0.0,6.25,7.916666666666667,0.0,13,13.0,0,5.923076923076923,7.6923076923076925,0,0.0,0.0
Conifer Communications,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,3.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,7.9,7.7,0.0,12,13.0,0,7.166666666666667,7.666666666666667,0,0.0,0.0
"Country Wireless, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0,10.0,0.0,1.0,12.0,0.0,0.0,8.0,0.0,3.0,12.0,0.0,4.666666666666667,7.333333333333333,0.0,5,12.0,0,3.2,8.0,0,0.0,0.0
"Cumby Telephone Coop., Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.2,0.0,2.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,16.818181818181817,0.0,6.090909090909091,9.0,0.0,16,16.0,0,4.875,8.625,0,0.0,0.0
Data Stream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.583333333333333,0.0,2.75,7.916666666666667,0.0,82.0,4.0,0.0,0.0,7.512195121951219,0.0,15.0,6.133333333333334,0.0,3.8666666666666667,7.266666666666667,0.0,109,4.467889908256881,0,0.8348623853211009,7.522935779816514,0,0.0,0.0
"Declaration Networks Group, Inc",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.421052631578947,0.0,5.684210526315789,7.0,0.0,20,11.45,0,5.5,7.0,0,0.0,0.0
"Dell Telephone Cooperative, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,1.8571428571428572,7.428571428571429,0.0,1.0,9.0,0.0,0.0,4.0,0.0,11.0,5.181818181818182,0.0,9.272727272727273,8.363636363636363,0.0,19,6.7894736842105265,0,6.052631578947368,7.7894736842105265,0,0.0,0.0
"FTC Diversified Services, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.6666666666666667,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.25,7.0,0.0,7,1.0,0,3.142857142857143,7.0,0,0.0,0.0
Falcon Internet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.066666666666666,0.0,1.3333333333333333,8.4,0.0,3169.0,6.418112969390975,0.0,0.0,7.8879772798990215,0.0,14.0,14.214285714285714,0.0,4.714285714285714,7.5,0.0,3213,6.495487083722378,0,0.03299097416744476,7.891067538126362,0,0.0,0.0
"Farmers Mutual Telephone Company of Stanton, Iowa",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,0.0,6.3,7.3,0.0,21,10.0,0,6.285714285714286,7.476190476190476,0,0.0,0.0
Fundamental Holdings Corp dba Peak Internet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,0.0,3.0,7.333333333333333,0.0,50.0,13.48,0.0,0.0,8.78,0.0,7.0,12.714285714285714,0.0,6.0,7.714285714285714,0.0,60,13.366666666666667,0,0.85,8.583333333333334,0,0.0,0.0
Getwireless.net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,13.0,0.0,16.0,2.0,0.0,0.0,6.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,2.0,0,0.4117647058823529,6.823529411764706,0,0.0,0.0
Haefele TV Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.5,0.0,2.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.692307692307692,0.0,5.6923076923076925,7.538461538461538,0.0,15,13.666666666666666,0,5.266666666666667,7.533333333333333,0,0.0,0.0
"Hartington Telecommunications Co., Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,5.0,10.0,0.0,2,17.0,0,3.0,8.5,0,0.0,0.0
"Hilliary Communications, LLC",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,2.36,7.96,0.0,17.0,10.0,0.0,0.0,6.529411764705882,0.0,21.0,10.0,0.0,4.428571428571429,6.714285714285714,0.0,63,10.0,0,2.4126984126984126,7.158730158730159,0,0.0,0.0
"Home Telephone ILEC, LLC d/b/a Home Telecom",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,1.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.625,0.0,6.25,8.875,0.0,10,7.9,0,5.3,8.2,0,0.0,0.0
Huxley Communications Cooperative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,3.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,7.0,7.0,0.0,3,15.0,0,4.333333333333333,8.666666666666666,0,0.0,0.0
